ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
71,0.005489255,2.0572e-07,0.0118,0.005764967,2.0572e-07,0.0118,0.005112876,2.0572e-07,0.012,0.004280618,2.0572e-07,0.0121,0.004102395,2.0572e-07,0.0122
72,0.005488139,2.2175e-07,0.0119,0.005675243,2.2175e-07,0.0119,0.005212488,2.2175e-07,0.012,0.004358126,2.2175e-07,0.0121,0.004111911,2.2175e-07,0.0123
73,0.005435843,2.3903e-07,0.0121,0.005668859,2.3903e-07,0.0121,0.005183916,2.3903e-07,0.0121,0.004298222,2.3903e-07,0.0123,0.00421895,2.3903e-07,0.0122
74,0.005408844,2.5765e-07,0.0122,0.005788823,2.5765e-07,0.012,0.005223072,2.5765e-07,0.0122,0.004332746,2.5765e-07,0.0124,0.004205894,2.5765e-07,0.0123
75,0.005401104,2.7772e-07,0.0123,0.005561819,2.7772e-07,0.0123,0.005176848,2.7772e-07,0.0123,0.004395734,2.7772e-07,0.0124,0.004362302,2.7772e-07,0.0122
76,0.005450555,2.9936e-07,0.0123,0.005631551,2.9936e-07,0.0123,0.005246724,2.9936e-07,0.0123,0.004540178,2.9936e-07,0.0123,0.004401518,2.9936e-07,0.0122
77,0.005559947,3.2268e-07,0.0123,0.005746907,3.2268e-07,0.0122,0.00516648,3.2268e-07,0.0124,0.004495982,3.2268e-07,0.0124,0.004440614,3.2268e-07,0.0123
78,0.005494079,3.4782e-07,0.0123,0.005629091,3.4782e-07,0.0123,0.005396928,3.4782e-07,0.0122,0.004623397,3.4782e-07,0.0123,0.004580209,3.4782e-07,0.0122
79,0.005442311,3.7492e-07,0.0125,0.005639843,3.7492e-07,0.0124,0.005163996,3.7492e-07,0.0125,0.004798849,3.7492e-07,0.0122,0.00452765,3.7492e-07,0.0123
80,0.005426856,4.0413e-07,0.0125,0.005504747,4.0413e-07,0.0126,0.005247468,4.0413e-07,0.0125,0.004807609,4.0413e-07,0.0123,0.004671121,4.0413e-07,0.0122
81,0.005534087,4.3561e-07,0.0124,0.005703215,4.3561e-07,0.0124,0.005483951,4.3561e-07,0.0123,0.004818001,4.3561e-07,0.0123,0.004758121,4.3561e-07,0.0122
82,0.005486927,4.6955e-07,0.0125,0.005708207,4.6955e-07,0.0124,0.005291316,4.6955e-07,0.0126,0.004809601,4.6955e-07,0.0124,0.004809541,4.6955e-07,0.0122
83,0.005449583,5.0613e-07,0.0126,0.005634719,5.0613e-07,0.0125,0.005435111,5.0613e-07,0.0124,0.004850857,5.0613e-07,0.0124,0.004910737,5.0613e-07,0.0122
84,0.005639567,5.4556e-07,0.0125,0.005746031,5.4556e-07,0.0124,0.005438723,5.4556e-07,0.0125,0.005063916,5.4556e-07,0.0122,0.004938733,5.4556e-07,0.0122
